HITId,tweet,sentiment,directness,annotator_sentiment,target,group
572,@user @user @user @user @user que dire des 2 personnes d'origines d'afrique noire? #cpaspareilleuxxxx,offensive,indirect,anger_indifference,origin,other
573,@user gros jtai dit bouche ta chatte de là jveux pas debattre avec un attardé qui se croit drôle et son suceur. circule oublie pas,offensive,direct,indifference,other,individual
574,@user donc vous soutenez un rappeur terroriste qui appelle à tuer les bébés blancs ? vous êtes donc complice et… @url,fearful,direct,indifference,origin,african_descent
575,rt @user @user @user chaque jour il devient de plus en plus attarde,abusive,direct,sadness,origin,indian/hindu
576,cnew : mecary culpabilise une fois de plus. la délinquance ce n'est quand même pas de faute! elle fait chier cette gauchiste. #cnews,offensive_normal,direct,shock,other,left_wing_people
577,video gaza: voilà ce que les medias appellent manifestations. et d'après vous pourquoi les arabes envoient-ils d… @url,normal,indirect,indifference,origin,arabs
578,le génie d'aulas est d'intégrer tous les rebeus du rhône alpes dans son centre de form…,abusive,direct,fear_sadness,origin,other
579,@user dites-moi pas que ça sort pile-poil maintenant parce qu'il pris position contre l'accueil des migrants en europe?,normal,direct,anger_sadness,origin,asians
580,unfollow nos mongol,abusive,direct,sadness,origin,african_descent
581,@user que dieu bénisse cet homme pour sa position contre l'avortement.,offensive,indirect,sadness,other,individual
582,@user @user @user @user non même pas c’est une comparaison entre deux fps mongol va,offensive,direct,sadness,other,individual
583,@user @user flagrant délit de militantisme gauchiste !,fearful,indirect,indifference,other,left_wing_people
584,j’suis devant le crous pour régler mes soucis avec la bourse dans la file d’attente que des renois et des rebeux j’suis plié,abusive,direct,sadness,origin,other
585,@user bah jdonne un avis dquelqu’un qu’est ps dans l’conflit justement tous les renois vont dire qucest vous… @url,offensive,direct,sadness,origin,african_descent
586,@user 3 rebeus au sang chaud qui mettent des accélérations aux défenseurs,abusive,direct,indifference,origin,other
587,@user mdr les rebeus entre parenthèses... la dernière fois je suis aller au coiffeur le mec de là-bas m'a dir… @url,offensive,indirect,indifference,origin,arabs
588,putain après faut pas s'étonner que les étrangers nous prennent pour des putain d'attardé @url,offensive,direct,indifference_disgust,origin,other
589,la #ligue1conforama c'est un camp de réfugiés islamistes à 200000€/mois,abusive,direct,sadness,origin,individual
590,@user nous sommes ici en plein delire de la raclure gauchiste super tare et totalement tordu qui ne comprend rien rien!,offensive,indirect,indifference,other,left_wing_people
591,thread enrichissant mais t’aurais pu nous épargner de la partie « ouin ouin les rebeus vous défend mais vous ête… @url,abusive,direct,shock,origin,individual
592,@user @user c est le resultat de l ideologie gauchistequi au nom de l'egalite des chances veut g... @url,normal,indirect,shock,other,left_wing_people
593,quand j’étais en 4ème 3 élèves m’insultaient de « sale juif ». mes profs ont voulu la faire virer la principale a… @url,fearful,direct,sadness,origin,jews
594,mbz à la tête des emirats arabes unis des moyens. mubadala son impressionnant fonds souverain et une pléthore… @url,normal,direct,indifference,other,individual
595,la faute aux migrants!,abusive,direct,sadness_disgust,origin,african_descent
596,@user normal c une attardé,abusive_offensive,indirect,indifference,disability,special_needs
597,c'était comment la soirée des attardé mentaux hier soir ? @url,abusive_hateful,direct,shock,other,other
598,je suis tellement contente que smythe davis ait sortit la mongol dorjsuren alors que là aussi elle est pas aidée pa… @url,normal,direct,sadness,origin,indian/hindu
599,@user non à la dictature de la pensée non au terrorisme intellectuel. oui à la liberté d'expression de conscience et d'opinion.,normal,indirect,sadness,other,other
600,@user @user vous allez apprendre faire la difference entre un gauchiste comme lula/melenchon et un f... @url,normal,indirect,indifference,other,left_wing_people
601,les rebeus dans les brocantes vous êtes pas possible,abusive,direct,sadness_indifference,origin,individual
602,ils vivent comme en afrique d…,fearful,direct,indifference,origin,african_descent
603,comment peut être attardé à ce point ?,offensive,direct,sadness_indifference,origin,other
604,#sondage #france #migrants,fearful,direct,indifference,origin,immigrants
605,batut de mongol,abusive,direct,shock,origin,asians
606,@user et fais moi pas dire ce que j’ai pas dis l’afrique appartient au africain donc au renois et au maghrébin un malade toi,fearful_abusive_offensive,direct,indifference,origin,individual
607,rt @user @user l'endoctrinement gauchiste fonctionne plein pot sur des cliches leur pille leurs richesses le,abusive,direct,sadness,origin,individual
608,@user gros mongol je lui demande si la station essence à côté chez lui est ouverte il répond « pourquoi… @url,offensive,indirect,indifference,other,individual
609,normal. n'est jamais à l'abri d'un gauchiste dégénéré.,offensive,direct,sadness,origin,left_wing_people
610,@user @user @user mais du coup c'est juste lui qui est ridicule parce qu'on le prend tous pour un attardé..,offensive,indirect,shock,other,individual
611,rt @user en 77passe dire bjr mon cousinson ami gauchiste avec qui il fait conakry en 1958memel foteh disaitpr relativi,offensive,direct,sadness,origin,individual
612,les renois vous abusez à tomber au milieu de la piste de bowling,hateful,direct,sadness,origin,african_descent
613,voici ce que fait macron en ce moment il applique un plan diabolique d’islamisation de la france réveillez vous mer… @url,hateful,indirect,shock,religion,muslims
614,~ne t'attarde pas sur les dtails au risques de rater ce qui est devant toi~,normal,direct,shock,other,other
615,@user sale féministe jui déçu,offensive,direct,shock,gender,women
616,sans doute direz vous que c'est un peu fleur bleue post soixante-huitard attardé que c'est une goutte d'eau q… @url,fearful,direct,indifference,origin,other
617,la renois du @user dernière balmon,offensive,direct,shock,origin,other
618,cette purge c’est vraiment du grand n’importe quoi c’est chaud d’être aussi attardé j’ai honte,offensive,direct,shock,other,individual
619,@user eh ben avec un mongol comme vous est mal barré !,offensive,direct,confusion_fear_shock_indifference_sadness,origin,hispanics
620,@user @user oui c'est pas du tout faux surtout quand tu écris en mongol en expliquant la satire politique française,offensive,indirect,indifference_disgust,other,other
621,@user @user @user elle permis en effet la reconnaissance du droit à l'#avortement le droit à l'… @url,normal,indirect,indifference,other,individual
622,dirait moi en boîte quand j’essaye de suivre les renois @url,disrespectful_normal,direct,sadness,origin,african_descent
623,@user ce sale arabe connor c'est son père dirait.... je vais le lyncher sur son curious cat de ce pas comme un brave.,abusive,direct,confusion_fear,origin,other
624,@user @user ecoute moi sale fils de pute parles bien déjà espèce d'attardé mental que jai agi ou pas ça… @url,offensive,indirect,anger_disgust,disability,special_needs
625,ptn même dans les lives elle est mauvaise aigrie et condescendante et le phacochere acquiesce comme un mongol #mavachou,offensive,direct,shock,other,individual
626,@user ah oui je comprends tt à fait mais moi c’est l’inverse pcq rebeus j’étais en extase et trop heureuse… @url,abusive,direct,sadness,origin,indian/hindu
627,@user hein c'est quoi cette trad de mongol,offensive,indirect,sadness,disability,special_needs
628,@user nan les renois rebeu que j’ai c’est des rebeu/renoi pas bon del,offensive,indirect,indifference,origin,african_descent
629,faire un comparatif entre la #shoah des #juifs &amp; l'#invasion des #migrants qui sont pour la majorité #économique es… @url,hateful,direct,indifference,origin,immigrants
630,l'invasion que nous subissons celle des touristes  cet homme est historien gauchiste  @url,normal,direct,sadness,origin,left_wing_people
631,pour ou contre l'avortement — pour @url,abusive_normal,direct,indifference,other,other
632,@user tqt faut faire confiance à dybaela cr7 et l’attardé de bogota comme il est appelé sur twitter,offensive,indirect,sadness,other,individual
633,@user dites non à la violence @url,abusive,direct,sadness,origin,asians
634,j'attends la propagande gauchiste qui va balancer que l'extrême droite contribué à la monté en popularité de cet… @url,fearful,direct,confusion_fear_shock_indifference_sadness,origin,individual
635,@user @user ostie d’mongol maudit niaiseux tabarnak,offensive,indirect,shock,other,individual
636,@user @user ceux là méritent même pas qu'on s'attarde dessus ..j'vais pas faire unanimité là dessus… @url,normal,indirect,indifference,other,other
637,@user divorce contraception avortement pacs mariage pour tous maintenant la #pma l'église catholique es… @url,offensive,direct,shock,origin,hispanics
638,@user ta reponse est ici =i&gt; écrivaine et blogeuse engagée. dans libérées - le combat féministe se gagne… @url,normal,indirect,indifference,other,individual
639,À vintimille comment faire preuve de solidarité avec les migrants sans se faire expulser de la ville @url,abusive,direct,sadness,origin,indian/hindu
640,@user @user @user Ça change quoi les chiffres hein ? trois mille migrants ou trois millions de migran… @url,normal,indirect,confusion_fear_shock_indifference_sadness,origin,immigrants
641,mon dieu j’suis complètement attardé c’est quitte ou double la,abusive_offensive_hateful_disrespectful_normal,direct,sadness,other,other
642,@user @user une fois une bande de petits renois est venue sonner chez moi pour halloween tous avec des cagoul… @url,fearful_offensive,direct,anger_indifference,origin,african_descent
643,@user assia vallah j’ai plus rien à perdre je fait déjà terminer depuis mon tweet sur les rebeus,normal,direct,sadness,origin,christian
644,@user @user psk tu sais très bien que le sang arabe et bcp plus fort que le sang des babtus là pou… @url,offensive,indirect,indifference,origin,arabs
645,stephenson il fait des phase de mongol,offensive,direct,indifference,origin,christian
646,c’est un mongol mais il est trop dans mon coeur,offensive,direct,shock,origin,individual
647,@user @user rien à voir avec le terrorisme ou l'islam !! c'est un dingue qui fondu un cable !,normal,indirect,indifference,other,muslims
648,pas sûr je suis même persuadée que #zemmour... c'est la pensée dominante des français hors gauchistes bien sûr c… @url,normal,direct,fear_indifference_sadness_disgust,other,other
649,le parti danois qui veut expulser les “migrants musulmans qui abusent des aides sociales” se développe rapidement @url,normal,direct,sadness,origin,immigrants
650,@user /o je sais pas. je comprends pas. j'en ai marre. va encore se reprendre toute cette violence dans la gueule. #lassitude,normal,indirect,indifference,other,other
651,@user c'est propre à la gauche ce terrorisme intellectuel l'histoire l'a démontré et le montre encore.,hateful,direct,anger_confusion_fear_shock_indifference,origin,left_wing_people
652,@user oui mais là depuis le matin je ne suis pas attardé après le match,normal,direct,indifference,other,other
653,non l’immigration n’aura pas la peau de l’etat providence #migrants #immigration @url,abusive_normal,direct,shock,origin,immigrants
654,@user @user hey es mongol ou quoi? parle de meurtres,offensive,direct,anger_indifference,other,individual
655,@user de meklat à badroudine : quand les #inrocks soutiennent l'antisémitisme islamiste gauchiste et bien-pen… @url,normal,direct,shock,origin,indian/hindu
656,passe du terrorisme islamiste au terrorisme musulman entendu à l'instant sur @user de la bouche de… @url,offensive,direct,shock,origin,muslims
657,@user fini à 17h30 mongol,offensive,direct,anger_indifference_disgust,other,individual
658,en france tous est problème raciste depuis l'invasion musulmane avant cela n'existé pas. toutes les autres religi… @url,abusive_normal,direct,confusion_fear_indifference_sadness_disgust,religion,muslims
659,@user je comprends pourquoi la plupart des gens disaient que j...etais arabe quand je streamais. nce genre d...emissio... @url,normal,direct,confusion_fear_shock_indifference,origin,women
660,ce serait bien que norman fasse une vidéo contre l’avortement,offensive,direct,shock,origin,individual
661,@user @user juste une question: si je traite un noir ou un arabe de sale arabe ou sale black c'est d… @url,abusive_offensive,indirect,anger_indifference,origin,african_descent
662,@user @user j'aime pas les rebeus,normal,indirect,shock,origin,arabs
663,frise le totalitarisme . un syndicat gauchiste quoi... @url,offensive_normal,direct,shock,other,left_wing_people
664,rt @user l'histoire du quebec vaut la peine qu'on s'y attarde. tellement triste qu'on ne l'enseigne presque plus. texte fort interessa,normal,direct,indifference,origin,individual
665,@user la rage des gauchiste ba oui c'est ça de faire des attenta sur tout ceux qui sont pas comme vous,fearful_abusive_offensive_normal,indirect,indifference,other,other
666,@user vai dormir mongol,offensive,indirect,sadness,disability,special_needs
667,@user peut-être un gauchiste ? @url,normal,direct,shock,other,left_wing_people
668,@user qu'il soit déguisé en arabe en noir en juif ou je sais pas quoi j'm'en branle. mais là le déguiseme… @url,hateful,indirect,anger_sadness_indifference_disgust,origin,arabs
669,le.lobby il va tenir 2 semaines les arabes est pas fait pour ca @url,offensive,direct,anger_disgust,origin,left_wing_people
670,@user wllh la vidéo elle fume dirait vraiment un attardé mais le pire c'est que ça le représente bien ce fdp,offensive,indirect,sadness,disability,individual
671,@user @user @user gros mongol savanier le bucheron avait un sursis renseigne toi sale pedale,offensive,direct,indifference_disgust,sexual_orientation,individual
672,@user @user j'comprend pas le delire de forcer les gens devenir vegan ca fume vous etes ravages c'est terrible,offensive,direct,confusion_indifference_disgust,other,other
673,ptdr il tout à fait raison mais dans les commentaires grave des meufs qui disent les renois mettez vous aussi… @url,normal,direct,anger_fear_indifference_sadness,origin,women
674,en israël les migrants africains se sentent victimes de « racisme » - @url @url,normal,direct,confusion_fear_shock_sadness,origin,immigrants
675,@user @user @user @user comme le confirme son sale arabe à marseille ça vote fn la… @url,offensive,indirect,shock,origin,arabs
676,loise mongol @url,offensive,direct,shock,origin,individual
677,▶forum réfugiés-cosi appell…,offensive,direct,shock,origin,individual
678,@user dommage le traitement du sujet est insuffisamment nuancé parce qu’il s’attarde trop sur les aspects n… @url,offensive,direct,anger_confusion_fear_shock_indifference,origin,african_descent
679,@user @user je te démontre qu’il aurait eu hors jeu mongol apprend le foot boloss,offensive,direct,shock,other,individual
680,#immigration #islam quand les clans arabes font la loi en allemagne. tant de laxisme fait vomir. lire. @url,hateful,direct,sadness,origin,indian/hindu
681,un soleil s'est attardé sur fenêtre,abusive,direct,sadness,origin,other
682,les migrants ne gagnent/reçoivent pas davantage de l'état que les p… @url,normal,direct,sadness,origin,immigrants
683,salah quun sale arabe,offensive,direct,sadness,origin,other
684,@user @user fallait pas rêver que quelqu un attarde vendredi... un.petit effort elle sera operat… @url,normal,direct,indifference,other,other
685,@user mdrrrr j’imagine trop un mec faire du bruit tout seul chaque matin comme un attardé dans sa voiture,abusive_disrespectful,indirect,anger_confusion_indifference_disgust,other,individual
686,@user et le racisme des blancs envers les noirs et arabe tellement été gommé france que même individuellem… @url,normal,indirect,indifference,other,other
687,@user @user donc maintenant les juges ne sont plus gauchistes ? ou est simplement gauchiste celu… @url,disrespectful_normal,indirect,indifference,other,other
688,regarde moi le ce mongole qui rigole !!!,fearful,direct,shock,origin,women
689,@user @user @user @user mais bordel t'es attardé ? goten avait le ssj dans ses genes c'e… @url,offensive,direct,sadness,other,individual
690,voici le genre d’hypocrite qui vient taxer de raciste negrophobe...,abusive_offensive_hateful_disrespectful_normal,indirect,indifference,other,individual
691,@user @user @user ah non trql j’ai cru lire sale juif,offensive,indirect,shock,other,individual
692,je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie… @url,offensive,direct,indifference,origin,special_needs
693,le renois trompent beaucoup les blancs trompent mieux. mdr waow keske j'raconte moi,hateful,direct,shock_indifference,origin,other
694,@user calla mongol,abusive,direct,sadness,origin,indian/hindu
695,@user @user vas-y ferme là ya un père de famille qui vient de mourrir la seule chose qui t'indigne c'est le mot renoi. sale pute,offensive_hateful,indirect,anger_indifference,origin,african_descent
696,jsupporte plus la naza keblack etc et tout les renoi qui les imite depuis qu’il croiser tete vert la ils ont tou… @url,abusive,direct,sadness,origin,indian/hindu
697,y’a que des rebeus chez moi mon appart c’est pôle emploi,offensive,indirect,shock,origin,arabs
698,des renois ici au lieu de dire clairement qu’ils sont racistes ils préfèrent dire de la sur les autres nation… @url,offensive,indirect,confusion_sadness_shock_indifference_disgust,origin,african_descent
699,@user @user quand vous avez un type comme nagui qui tous les midi vous dit les arabes ont tout i… @url,offensive,indirect,sadness,origin,arabs
700,rt @user @user @user cassons la gueule au gauchiste faisons leur comprendre qu'en jouant avec nos vies ils,normal,direct,shock,origin,indian/hindu
701,@user le fils est hyper couvé dans les familles rebeus c'est une réalité mon cher hassan,disrespectful,direct,indifference,origin,arabs
702,@user il m'a traîté de juif et aussi traité de sale sourd @user,offensive,indirect,sadness,religion,jews
703,mongol @url,abusive,direct,confusion_sadness,origin,special_needs
704,@user @user @user le danger pour la france sont :l extrême gauche violente (noborderantifaza… @url,fearful_hateful,indirect,indifference,other,left_wing_people
705,la violence faite aux femmes s'exprime aussi dans les classes aisées --&gt;le procès du pdg du dauphiné libéré pour vi… @url,abusive,direct,shock,origin,indian/hindu
706,@user @user mais sale fdp ils rt si ils veulent espece d...attarde,offensive,direct,confusion_sadness_shock_indifference_disgust,other,individual
707,@user gerter c'est un nouveau verbe ou t'es juste mongol ?,offensive,direct,fear_shock_disgust,disability,individual
708,@user ahah. je pensais à des partenariats autres que financiers. et je ne m'attarde pas sur les entreprises concer… @url,abusive,direct,indifference,origin,indian/hindu
709,@user listo mongol ya trollié mi duo minglee,offensive,indirect,indifference,disability,special_needs
710,@user te voir discuter avec l'autre attardé ça fais journée tellement c'est drole @url,offensive,direct,shock,disability,individual
711,@user sinon j'aime bien faire le mongol en ranked,abusive_disrespectful_normal,indirect,anger_indifference_disgust,origin,individual
712,@user t’es attardé ? baptiste ya un e et c’est bien masculin pourtant,offensive,direct,confusion_sadness_shock_indifference_disgust,other,other
713,@user le cerveau islamiste est comme le cerveau gauchiste lumière non allumée à tous les étages.. panne… @url,offensive,indirect,shock,other,left_wing_people
714,@user @user bien joué ça bande de mongol,offensive,direct,anger_shock_indifference_disgust,other,other
715,@user @user @user @user si vous êtes cohérent avec vous même cela signifie que vous êtes contre l'avortement .,normal,indirect,anger_confusion_shock_indifference,gender,women
716,@user c ça les rebeus gro,abusive,direct,sadness_indifference,origin,other
717,la fachosphere ete inventee par la conosphere gauchiste cours d'arguments. la survie qu'on peut. @url,abusive,direct,indifference,origin,christian
718,info - #nduta (#tanzanie) : des réfugiés burundais spoliés de leurs biens et effets @url #burundicrisis #burundi,disrespectful,direct,fear,origin,indian/hindu
719,@user par contre jparle couramment chinois et jpeux te dire que ching chong ça veut rien dire,normal,indirect,sadness,origin,asians
720,@user @user @user @user monde de mongol,offensive_disrespectful,indirect,sadness,other,other
721,@user exactement xd comme tu es un ami précieux je m'attarde beaucoup sur ce genre de détails xd,normal,indirect,sadness,other,individual
722,mais ils ont quand même aimé une atmosphère qui garde son identité et la violence du dessin de ryp. :),normal,direct,shock,origin,indian/hindu
723,je pensais pas que c'était sérieux cette histoire. c'est juste complètement attardé. @url,abusive,direct,sadness,origin,other
724,je comprend pas pk toutes les plus belles meufs kiffent les renois j’en ai marre,fearful,direct,sadness,origin,other
725,svp dites lui que les étrangers donc arabes et noirs pour la maj payent plus d’impôts qu’elle @url,disrespectful,direct,anger_fear_indifference_sadness_disgust,origin,other
726,sao mongol,offensive,direct,sadness_indifference,origin,special_needs
727,@user waw jvai te défoncer jiji tu parles comme ça toi qui aime la violence jv te briser grosse pomme de terre va,hateful,direct,shock,other,individual
728,@user para de ser mongol mlq,abusive_offensive,direct,anger_shock_indifference_disgust,disability,individual
729,attardé @url,offensive,direct,shock,other,individual
730,@user je sais que t'as les moyens de donner + sale juif,offensive,direct,anger_sadness_shock,religion,jews
731,@user @user l'argument c'est que les noirs et les arabes se revendiquent comme noir et arabes et le pigeon g… @url,normal,indirect,shock,origin,other
732,@user @user tu es devenue gauchiste aussi bravo,abusive_normal,indirect,sadness,other,left_wing_people
733,@user mais pourtant la gauche inclusive tolerante pro-lgbt feministe aime tellement marcher main dans la main avec l'islam ;),offensive,indirect,sadness,other,left_wing_people
734,@user @user ta vie m'interesse pas sale bouffone. retourne glorifiez un systheme qui te bouffe d... @url,offensive,direct,shock,other,individual
735,@user @user l’antisémitisme de nos jours vient de l’extrême-gauche et de l’islam.,hateful,direct,anger_shock_disgust,religion,muslims
736,@user @user @user istanbul bcp perdu de son charme avec le nombre de réfugiés qui traînent dans les rues,abusive_disrespectful,indirect,anger_indifference,origin,refugees
737,par contre la vérité c’est vrai les renois elles aiment trop parler de sexe c’est incroyable,disrespectful,direct,shock,origin,african_descent
738,@user donc répète pour les mongol du rn: la balance de l’immigration en france c’est environ 300 000 personn… @url,offensive,direct,sadness,origin,other
739,les rebeus de répu c’est vraiment les pires,abusive,direct,shock,origin,other
740,@user le gars est un mongol pour twteet ça xd tout le monde le sais en plus :),offensive,indirect,sadness,other,special_needs
741,@user surtout les arabes. ils sont parfait pour le sport en plus ce sont des  buveurs de vent avec leurs… @url,hateful,indirect,anger_confusion_disgust,origin,arabs
742,@user il peut être content de baiser mais faut vraiment être attardé pour prendre une photo comme ça et en+ la partager,offensive,direct,shock,other,individual
743,c’est un gauchiste normal qu’il soit con @url,offensive,direct,indifference_disgust,other,left_wing_people
744,@user @user j'ai pas dit que t'écrivais à place espèce de giga mongol j'ai bien dit que j'écrivais de… @url,offensive,direct,indifference_disgust,other,individual
745,@user supprime photo jveu pas que mongol d’abo posent leurs yeux sur moi,offensive,indirect,indifference,other,individual
746,@user @user le porte parole d’un islam radical et anti français collabo du terrorisme islami… @url,fearful_abusive,indirect,anger_confusion_fear_indifference,religion,muslims
747,toi crois pas ta oublier quand t'insulte les arabes sombres harki et ta craquer ta désactiver @url,offensive,direct,anger_indifference,origin,indian/hindu
748,@user champion du monde et ça l'insulte . tu du mal avec les rebeus formés à lyon,fearful,direct,anger_confusion,origin,left_wing_people
749,un putain de voleur sale arabe @user,disrespectful,direct,sadness,origin,arabs
750,@user pq y'a autant de rebeus qui tiennent avec l'ol ?,normal,indirect,sadness_indifference,origin,arabs
751,j'étais prêt le traiter de sale arabe ah...,fearful,direct,sadness,origin,indian/hindu
752,message à l'attardé(e) qui mis des cd d'études bibliques sur le banc de l'abribus sur dorchester : ils sont dans… @url,offensive,direct,sadness,other,individual
753,passa teu twitter . ? — mongol @url,abusive_offensive,direct,fear_indifference,other,other
754,je crois de souvenir qu'en 5 ans et demi de league je n'ai jamais vu un attardé mental aussi ravagé de vie c'es… @url,fearful,direct,sadness,origin,indian/hindu
755,l'idée qu'il existe 1 lobby juif un classique de l'extrême droite est désormais déclinée sous l'avatar du lobb… @url,normal,direct,shock,origin,jews
756,@user le pire (déso pr les potes en prison^^) c'était la press' et la violence policière &gt;après&lt;. Ça d… @url,normal,direct,confusion_indifference_disgust,other,other
757,plus de terrasse plus de lumière...réfugiés dans le caveau dans un état de désarroi certain nous gardons malgré t… @url,normal,direct,shock,origin,other
758,@user c'est du jargon gauchiste tellement galvaude que s'en est devenu un running gag.,normal,direct,indifference,origin,individual
759,@user toujours un renoi pour casser les couilles d’un autre renoi bravo #willylynch t’as bien aliéner les re… @url,abusive_offensive_disrespectful_normal,indirect,indifference,origin,african_descent
760,-sale arabe !,fearful,direct,sadness,origin,arabs
761,baita dum mongol esse teu,disrespectful,direct,sadness_indifference,origin,individual
762,#italie : le gouvernement adopte une nouvelle loi pour expulser plus vite les migrants et révoquer la citoyennet… @url,fearful,direct,shock,origin,individual
763,meme paganelli il en peut plus de l'autre mongol de commentateur #olom,fearful_abusive_offensive_hateful_normal,direct,sadness,other,individual
764,malu é mt mongol mds,offensive,direct,shock,disability,individual
765,@user il s’appelle adnan oktar il est en prison la ce mongol,offensive,indirect,anger_indifference_disgust,other,individual
766,etes-vous d’accord avec bernard kouchner qui dit que « nous devrions prendre plus de migrants » @url,normal,direct,shock,origin,indian/hindu
767,@user chez les rebeus,offensive,direct,anger_confusion_sadness_indifference_fear,origin,other
768,@user @user @user @user @user @user c’est ouf comment les rebeus de qua… @url,normal,indirect,indifference,origin,arabs
769,genre jai envoye seance dmuscu sur snap un gar dit ta mere sale arabe avc ton vieux chanteur en parlant de ch… @url,hateful,direct,shock,origin,arabs
770,ptdrrrrrrrrrrr les arabes dominent le monde @url,abusive_disrespectful_hateful_normal,direct,shock,origin,arabs
771,@user pas que les renois deconne pas tout le monde doit s’hydrater alors metter tous de la crÈme,offensive,indirect,indifference,other,other
772,@user @user ah ben cest difficile quand connait que les smartphones le beton et les immeubles,normal,indirect,indifference,other,other
773,@user @user l’extrême droite est au pouvoir(police coupe semelles enfants migrants ment sur âge pour… @url,offensive,indirect,shock,other,immigrants
774,la  repression  au #bresil entre 1964 et 1985 fut essentiellement dirigee contre la petite-bourgeoisie #gauchiste @url,abusive,direct,anger_confusion_fear_shock_indifference,origin,other
775,@user long comme le regard qui s'attarde sur ton corps,normal,direct,indifference,other,other
776,@user @user un attarde pareil cest du jamais vu,offensive,direct,shock,other,individual
777,@user ahah la réplique d'un attardé,offensive,direct,indifference,origin,other
778,ferme ta gueule gauchiste de merde,abusive,direct,fear_indifference,origin,other
779,de retour au campement préparation du barbecue mongol. fait chauffer des pierres dans les braises puis remp… @url,offensive,direct,indifference,other,other
780,@user la théorie du deep state terme que trump ne renie pas reprend bien des canons de l'antisémitisme c… @url,normal,indirect,indifference,other,other
781,@user l’islam aussi pris source en arabie du coup je ne sais pas si ça annule l’assertion du terrorisme ? com… @url,hateful_disrespectful_normal,indirect,indifference,other,other
782,@user @user @user ex banquier plutôt ex escroc!!le mot racaille remplacer sale arabe!!,offensive_hateful,indirect,shock,origin,arabs
783,@user @user ce genre de renois frustré psk il rêve de finir avec une maghrébine ou psk il aurait rêvé être… @url,offensive,direct,anger_confusion_shock_indifference_disgust,origin,african_descent
784,@user un gros mongol et j'ai masque ses contenus car il apparaît sans rien demander. et voir juste ce qu'il fai… @url,offensive,indirect,sadness,other,individual
785,rt @user @user aaaargh pardon pardon encore un reflexe de gauchiste !,abusive,direct,sadness,origin,other
786,@user mdr les mongol,offensive,indirect,indifference,other,special_needs
787,migrant maladie,abusive,direct,sadness,origin,refugees
788,@user @user ouais ferme la sale renoi,offensive,direct,indifference,origin,african_descent
789,@user pareilj’aime pas voir les gens malheureuxmême ceux que je connais pas vraimentje m’attarde toujours u… @url,normal,indirect,indifference,other,other
790,@user moi il prennent pour un attardé mais wlh ça fume ils comprennent pas notre humour supérieur,abusive_normal,indirect,sadness,other,other
791,@user @user sale raciste je suis amazigh et je ne stigmatise pas les arabes et puisque tu es contre les a… @url,offensive,direct,anger_indifference,origin,arabs
792,@user @user @user je vais te spoiler toi sale juif ❤,abusive_hateful,direct,anger_confusion_sadness_shock_indifference,religion,jews
793,ah oui et la presse française va continuer d'expliquer qu'un arabe criant allahu akbar en tuant un mécréant n'est… @url,hateful,direct,shock,religion,muslims
794,«la montée des populismes s’explique par cette peur des migrants clandestins» @url,hateful,direct,shock,origin,immigrants
795,@user dit le gauchiste. quand reçoit des menaces de l extrême gauche et voit les millions de dégâts et les… @url,normal,direct,indifference,origin,indian/hindu
796,@user ben oui quebec pauvre le développement économique en autobus ! esti de mongol !,fearful,direct,sadness,origin,individual
797,les chanteurs renois ils ont une de ses voix super douce à base de doks dadju scridge keblack kalash etc j’aime trop,abusive,direct,sadness,origin,african_descent
798,rt @user @user @user un adepte du lieu commun gauchiste,abusive,direct,sadness,origin,special_needs
799,@user vous êtes fatiguant donc dit fermer sa bouche grr le blackos en face lui normal porte tee shirt bande de faux dérch,normal,direct,indifference,origin,african_descent
800,le singe mongol est un chic type un bon gars.,abusive,direct,indifference,origin,other
801,le tueur n'Était pas anti-trump. anti-trump: dire que trump va trop loin. le tueur pensait qu'il n'allait pas assez… @url,abusive,direct,sadness,origin,african_descent
802,question est simple que se passe t'il dans la tête de certains renois je regarde je comprends pas wesh j'exige d… @url,normal,direct,shock,origin,african_descent
803,eu sou mt mongol holy,offensive,direct,sadness,origin,other
804,@user t’as qu’à essayer de gagner mon coeur sale arabe va,offensive,direct,shock,origin,arabs
805,loon-plage : la cycliste inventé son agression par des migrants. elle est simplement tombée de son vélo. @url,normal,direct,indifference,other,immigrants
806,et notre attardé national @user donne notre argent des pays comme la palestine ... le « new york times »… @url,abusive_offensive,direct,confusion_shock,origin,individual
807,mongol.,offensive,direct,shock,origin,indian/hindu
808,@user @user l’islamisation de la france est en marche...financée par les caf. c’est probablement la première… @url,normal,indirect,sadness,religion,muslims
809,@user @user @user donc elle pose des soucis attends mais tes tes attardé enfaite tu lance un débat avec… @url,offensive,direct,sadness_indifference,other,individual
810,@user moi j'avais pas compris et j'suis d'accord avec elle sur triso/autiste et pk pas débile mentale mais md… @url,offensive,direct,sadness_shock_disgust,other,individual
811,@user sale tiaga prete faire bails sombre avec le premier venu tant quil est arabe...jvai tenclancher,offensive,direct,indifference,origin,arabs
812,@user pk m’prend tjrs pour un mongol sayez ça dit « tu suces » c direct moi aler nvm,offensive,indirect,indifference,other,individual
813,@user la vem mongol,offensive,direct,confusion_indifference,other,individual
814,@user @user @user non je préfère juste que tu arrêtes d'employer ton vocabulaire de gauchiste (c… @url,normal,indirect,shock,other,individual
